iteration,ema_vs_gt_iou,sam_vs_gt_iou,pl_vs_gt_iou,ema_vs_pl_iou,sam_vs_pl_iou
0.0,0.9457709038235118,0.15766273207828463,0.2985558503488991,0.30733899158189326,0.22735674682237655
1.0,0.16705069156411265,0.03526534609756589,0.12648981194675518,0.7382550341426062,0.01782156899704832
2.0,0.9445083080839682,0.12377521618041425,0.5435573630625474,0.5497314715843468,0.1434521330907686
3.0,0.8030258519678282,0.4224847834283935,0.8880572730413184,0.864651162811682,0.407346294611712
4.0,0.93944530047158,0.2065649314052638,0.925354527049189,0.9443155452522327,0.20599726185574524
5.0,8.849557443809227e-09,0.008713085125398019,8.849557443809227e-09,1.0,7.710694733000948e-11
6.0,0.8951527924683073,0.11701206109702059,0.9098853086237655,0.9074771382961393,0.11316858728347642
7.0,0.748869708282421,0.03320290350932282,0.4516908214767751,0.5989583335232206,0.03988653978302523
8.0,0.9136226901682829,0.2684795236977752,0.7020047941052512,0.726953852929195,0.25767833240552007
9.0,0.9115442279125804,0.11012518919004934,0.7529734675959214,0.7685358256172785,0.08608178288385727
10.0,0.8922136422483226,0.1486134029302915,0.8273080370996988,0.9039833531795531,0.1767555768952374
11.0,0.4451013518200157,0.027657538660060255,0.42462087473272,0.7212971080444371,0.04179608993962196
12.0,0.8771138671058468,0.0591227829603243,0.651293588693708,0.6706875757892792,0.0408753097274377
13.0,0.5819905217232316,0.01988406363483649,0.5766345127795985,0.8071833650215657,0.02755382875092913
14.0,0.9219391947539952,0.5168112798701364,0.9064270681712114,0.9531810766797421,0.5443106726220412
15.0,0.903013582363537,0.0933670452644951,0.7803819444921045,0.8176243470775324,0.07382030264134302
16.0,0.5785327426989006,0.11628479928420098,0.32140950383266975,0.4793014233639706,0.05925616388974039
17.0,0.9405850091950777,0.04527004642787981,0.334488189185988,0.32507936529362563,0.13017187827168475
18.0,0.8989898990291415,0.08862463543906123,0.6441814597064374,0.6800311406461538,0.06723506098768847
19.0,0.7727835051858717,0.29016158525027613,0.7765521143011523,0.9477719907482969,0.3263885436166084
20.0,0.8793565683915646,0.14743566740309963,0.9151599443868428,0.9482798430043223,0.14799799084572338
21.0,0.23018494080905386,0.10539606598183174,4.0290088621962093e-10,6.191950460562259e-10,0.01297252064353658
22.0,0.9315434134194468,0.3194042419178252,0.6334639060287114,0.6459100547209118,0.448568119633156
23.0,1.0,1.0,1.0,1.0,1.0
24.0,0.9295195954599369,0.2453712803472868,0.9544020195717258,0.9374099567892733,0.24140913740499298
25.0,0.8871366728858575,0.11379616611968779,0.8136239782524185,0.7830292980146408,0.12985229721925878
26.0,0.9078840422774473,0.5051614806440672,0.6469006320227376,0.6896888517246144,0.38597414316100614
27.0,0.9140671686489701,0.1518443658651439,0.6229876451238003,0.6295482295934618,0.15569078751715099
28.0,0.6972100657283342,0.10538157497399266,0.6230954291304209,0.7807890223736573,0.07595823061235552
29.0,0.2367288381503842,0.02772770857036519,0.24154067701888385,0.9544639655953876,0.10310620862142915
30.0,1.0,3.4458993785506896e-10,1.0,1.0,3.4458993785506896e-10
31.0,0.007037298027080473,0.004227308472478573,3.6218761305244925e-10,0.9245349245614128,0.16201859234806115
32.0,1.988071566624112e-09,0.0027212783378320034,1.988071566624112e-09,1.0,3.5413272893426825e-11
33.0,0.9051504335006882,0.0038451546373683993,5.285412259362889e-10,5.422993489466923e-10,5.738222298402581e-11
34.0,5.737234649605717e-10,2.3402761520383156e-10,1.383125862540628e-09,0.3745819401479476,0.16920196602639784
35.0,0.8634100071464523,0.1603964485170185,0.7287730208732903,0.7698094283425754,0.13344405235069776
36.0,6.854009590915688e-10,0.0025406235641485934,2.5773195809862898e-09,0.24096385595962871,0.017996083257397127
37.0,0.770351758909371,0.07681365579854446,0.03978007793021343,0.00034614087907714055,0.05254161413648034
38.0,0.9430278304031724,0.0426770674895327,0.15437857370532976,0.16531604550385798,0.06782580176594556
39.0,0.4671052636587356,0.04339080463697082,0.22881356004819814,0.4869739489238999,0.009977417408746565
40.0,2.242152461340465e-09,0.02611852898652386,2.242152461340465e-09,1.0,5.856172405372677e-11
41.0,0.8425076453803458,0.04896584146627367,0.6479430382532095,0.7173725153696002,0.03251714009666926
42.0,0.9241706162335377,0.032874089098735355,0.7825421136561377,0.8152866244979512,0.028889125397484085
43.0,0.9216164431420282,0.20692261188002864,0.7907351100356403,0.8105185999980725,0.16798179062336943
44.0,0.47347740679470035,0.17440773073765525,0.8819031436355551,0.4720720721909747,0.16517647065371163
45.0,0.9192668888337978,0.3006041554447368,0.9105830858354568,0.9144766823766556,0.29841207417047283
46.0,0.8477554919106485,0.25096073521297907,0.7832099727730405,0.8817524457929068,0.23591911349046504
47.0,0.8382956879680207,0.06927053421140071,0.7742105264346261,0.8814898420533354,0.05981236840667003
48.0,0.8440792246759043,0.10062184575069295,0.8237738986601106,0.9333933393639093,0.09706637830214652
49.0,0.9358638743665367,0.10120201631706432,0.9196840026597485,0.9379693111531279,0.10295674267507739
50.0,0.8415070511804867,0.1551615882121824,0.8540224913810505,0.9547511312324954,0.15030502641751917
51.0,0.8629557292112774,0.07983314990209625,0.870638578054431,0.9689762151089362,0.0823676338450127
52.0,0.9385126713879284,0.05953465007506093,0.37532244209472865,0.36210832136084076,0.06224279838606849
53.0,0.8819559228812733,0.2839911806975924,0.8292614037806438,0.8321249303078465,0.2693930824768591
54.0,0.8476270947968417,0.11444176709672475,0.48086196511741075,0.505304049080337,0.11955560276263823
55.0,0.7722007726405391,0.01595662757551808,0.8387715933996707,0.8421052635041552,0.0135538921537272
56.0,0.7753261704191622,0.14614430068618528,0.605650382655356,0.6681901280314094,0.1420109948876747
57.0,0.9095801937891711,0.1448025420367225,0.7931547619817132,0.7834532374879665,0.12619372446986166
58.0,0.9084588644440983,0.18311520740338746,0.9020687037574362,0.9431728492614102,0.18421927526932072
59.0,0.9532408900430118,0.0005834453971085603,0.07317478811355815,0.07214983728466615,0.00053105180703552
60.0,0.9509702009786954,0.1773424082699147,0.926249144434249,0.9572634844119828,0.1802022386421966
61.0,0.8763250884848939,0.041611798838998584,0.6319311666998745,0.6483300592845481,0.04697137439786117
62.0,0.5871112015476496,0.08172404146460846,0.3375231816737022,0.5563182528685435,0.09905584035073883
63.0,0.9243398279176798,0.14198582529841947,0.6760168303269869,0.6919263456402341,0.12598309986004377
64.0,0.908256880778244,0.08485009525331695,0.8694012258984436,0.883356385484852,0.09074000269736769
65.0,0.8640845071379687,0.0573406059926965,0.7550644568722747,0.8456790124409389,0.07306229091657597
66.0,0.8150898204035713,0.19182144533625609,0.824357108242514,0.894160583969197,0.18945096598465805
67.0,0.9070612669226058,0.06073329589510586,0.8774801587909324,0.9129098361101896,0.0633828443195811
68.0,0.8887171562770987,0.019927313076877933,0.4101978695508387,0.41125198144908715,0.03714426515223777
69.0,0.9030327215071697,0.06492921676662831,0.7545848617023725,0.8123118100326826,0.08316681210539621
70.0,0.9391806533226529,0.19989429577560897,0.936127744522568,0.9636263937189496,0.20154247479484547
71.0,0.9389426656965961,0.46349837378686326,0.7653174898754855,0.7654366095120801,0.3953026198021133
72.0,0.8853211014434812,0.029832107807710263,0.8073394504250484,0.9119170989019839,0.024430871873343852
73.0,0.5952921743557108,0.13319764816222535,0.9139784946508607,0.6322553897943085,0.14009771106757904
74.0,0.8329139406560357,0.15178571431952384,0.8081745236188128,0.9144067796851958,0.1337007308360808
75.0,0.7606557384896533,0.009038876583084512,0.6633663377446656,0.852000000592,0.006724423763590391
76.0,5.376344057116429e-09,2.66148564121413e-11,2.352941170934256e-09,0.1378026086819318,0.01128439881270867
77.0,0.5141294443809211,0.021109090513084204,0.16448326079636585,0.21397525937346198,0.06886925226521308
78.0,0.3874746565921436,0.05594383178199719,0.7280453259074385,0.33850074339806735,0.05940562354898464
79.0,0.9154929578059909,0.0564057899275681,0.9142857143469387,0.9293948127309836,0.05470759025073797
80.0,0.8991144296059881,0.1440899001347367,0.7504918619655712,0.7598724987143842,0.12225600404110748
81.0,0.7856847331845914,0.18038029389885998,0.7538816618225174,0.9144123134527955,0.17172113293369407
82.0,0.9430630121583692,0.21578043508409298,0.8490593135359673,0.8586357039392402,0.1903575990041393
83.0,0.9407201821846911,0.21420003001896087,0.35023276117615415,0.3602722862364927,0.248263616938312
84.0,3.086419743560433e-09,0.012953367986826609,3.086419743560433e-09,1.0,1.1535355864397813e-10
85.0,1.0,1.0414496978711257e-10,2.136752132186427e-09,2.136752132186427e-09,0.04873984596451366
86.0,0.9391058581862524,0.1822283248733705,0.8403382243620149,0.8578491965740793,0.18065908203311792
87.0,1.0,3.3898304969836253e-09,1.0,1.0,3.3898304969836253e-09
88.0,0.9040209521022923,0.2154332368175248,0.4606099111403097,0.47911982019288146,0.23907413408553946
89.0,0.9107368954278632,0.2395623005523493,0.7824497258053735,0.7997338656287779,0.19721821285929608
90.0,0.5246675248714425,0.07460035527079995,0.3959790212430162,0.7172932332952682,0.03217697338588312
