iteration,ema_vs_gt_iou,sam_vs_gt_iou,pl_vs_gt_iou,ema_vs_pl_iou,sam_vs_pl_iou
0.0,0.9259259259776897,0.35261342548352,0.04364183668649974,0.04064470985238632,0.015388697528419024
1.0,0.7845598022847386,0.13821860040148973,0.6770532795389395,0.7645929339929737,0.13430132810782547
2.0,1.0,2.8318985046773927e-11,3.710575137769731e-10,3.710575137769731e-10,0.07631966472937472
3.0,0.8921745402286018,0.18505134354771008,0.6787602553001348,0.7172022684844608,0.14019128436861097
4.0,0.8055112731028213,0.10049852710456326,0.8138660399967411,0.9320859321016202,0.11521757645362576
5.0,0.6835604771364735,0.0862214708822922,0.6448911224267626,0.5569439487479673,0.10794124973323667
6.0,0.9643463497539785,0.12741397750747266,0.949771689509788,0.971275559890147,0.12759531901574192
7.0,0.912028725340506,0.10928362576354957,0.9230769231008792,0.8959451401622107,0.1118078474839821
8.0,0.7098786829428496,0.1075486381785967,0.44918842644700485,0.592105263336796,0.07468368008392218
9.0,0.7305825245988076,0.1299464318075088,0.7097560979149315,0.886056971685072,0.10665277069538774
10.0,1.0,4.663961568739146e-11,1.0,1.0,4.663961568739146e-11
11.0,1.146788989510563e-09,2.9313478336480224e-11,1.146788989510563e-09,1.0,3.0082425845915334e-11
12.0,1.0,1.086366105259493e-10,1.0,1.0,1.086366105259493e-10
13.0,0.9433681073194133,6.165988407561599e-11,0.5757670633764036,0.5534534535875516,6.72449734337136e-11
14.0,0.9301702697665639,0.19680155284202702,0.7994106090767366,0.8156645569984841,0.17596162086970096
15.0,0.5898709040815582,0.03393806124119707,7.473841548973212e-10,9.832841681580294e-10,0.013834862421510647
16.0,0.8018750001238282,0.002881930923632376,7.067137804192835e-10,6.811989096177119e-10,3.125781445263635e-11
17.0,0.8889111690617784,0.14627556930572896,0.8834071263159589,0.8743657398265952,0.1406556638953558
18.0,0.8959037955851364,0.2003634536132559,0.8273504273832193,0.9008860498864855,0.16967676927487496
19.0,0.8627339762548304,0.07651350822931802,0.7381878823022858,0.8273504274488032,0.0753681921975206
20.0,0.8913781399243869,0.07306698260429319,0.8813783963675424,0.9550033579885807,0.07979754474048043
21.0,0.9278469340876332,0.3474906748603348,0.9135220125980408,0.9287780992813759,0.37410926371105285
22.0,0.5126605506375558,0.16610410382251697,0.49558771637995497,0.9430264357597874,0.19756317696772893
23.0,0.9428639165616728,0.14028412862088435,0.916825548160909,0.9444444444581012,0.13564790464192011
24.0,0.8516388730007827,0.06631116180630502,0.7748659917957915,0.8416719443687954,0.05421146957257204
25.0,0.9321895424947403,0.008629934177162337,0.8442964196762204,0.8720573183432178,5.290725358166725e-11
26.0,0.29008438893451016,0.02362500004068229,0.45993589830138476,0.44817073254852025,0.013305526631353263
27.0,0.8645704891359288,0.14940286763339142,0.5971922247090297,0.6145360156576819,0.09859154932674023
28.0,0.7934964800882507,0.14334421263715633,0.8101618235931509,0.9350893697205852,0.14763791169078114
29.0,0.7910537376790592,0.11899550746384842,0.7941538462171834,0.9390111873190143,0.09998458815211587
30.0,0.1848958338640001,0.024455077160746175,0.11741424840922857,0.6425099427121035,0.16852737911684304
